domain_name,unified_sentiment,Sentences_clean,Aspects_clean,Aspects_sentiments_list,Aspects_list
Restaurants,-1.0,التجربة بشكل عام كانت متفاوتة، الخدمة في المطعم كانت روتينية. النظافة معدومة في هذا المطعم. السعر كان عاديا وليس مبالغا فيه,الخدمة، النظافة، الأسعار,"[0, -1, 0]","['الخدمة', 'النظافة', 'الأسعار']"
Attractions,1.0,قرأت تقييمات كثيرة وقررت التجربة، العروض المقدمة كانت في المستوى الطبيعي وبالنسبة للتنظيم فـ مرتبين جداً و احترافي أما المكان فـ يعتبر جيد لقضاء بعض الوقت,الفعاليات، التنظيم، المكان,"[0, 1, 0]","['الفعاليات', 'التنظيم', 'المكان']"
Hotels,0.0,في زيارتي الأخيرة، وجبة الإفطار كانت عادية ولم تكن مميزة أما الاستقبال فـ موظفو قاموا بعملهم بشكل روتيني,الإفطار، الاستقبال,"[0, 0]","['الإفطار', 'الاستقبال']"
Hotels,0.0,قرأت تقييمات كثيرة وقررت التجربة، الغرفة كانت عادية وتفي بالغرض أما الموقع فـ موقع المكان عادي ويمكن الوصول إليه بسهولة,الغرفة، الموقع,"[0, 0]","['الغرفة', 'الموقع']"
Attractions,0.0,بصراحة، أسعار الدخول طبيعية مقارنة بالفعاليات وبالنسبة للتنظيم فالإدارة و بمستوى مقبول، كما أن الفعاليات مقبولة وتمضية وقت ليس إلا. مساحة المكان وتصميمه مقبول ولا بأس به,التذاكر، التنظيم، الفعاليات، المكان,"[0, 0, 0, 0]","['التذاكر', 'التنظيم', 'الفعاليات', 'المكان']"
Attractions,0.0,الفعاليات كانت تقليدية ومكررة في حين أن التذاكر قيمتها ممتازة وتشمل خيارات كثيرة بالإضافة إلى ذلك، التنظيم سيء جداً وهناك عشوائية في المكان,الفعاليات، التذاكر، التنظيم,"[0, 1, -1]","['الفعاليات', 'التذاكر', 'التنظيم']"
Hotels,0.0,بصراحة، أعجبتني الغرفة بنظافتها الفائقة وتصميمها الرائع أما الاستقبال فـ كان مقبولا بشكل عام. وموقع الفندق سيء ويصعب الوصول إليه,الغرفة، الاستقبال، الموقع,"[1, 0, -1]","['الغرفة', 'الاستقبال', 'الموقع']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، التذاكر ليست رخيصة ولا غالية بل في المعقول أما الفعاليات فالأنشطة الموجودة لا بأس بها للأطفال في حين أن بشكل عام المكان طبيعي كأي حديقة أخرى، كما أن فوضى عارمة وسوء تنظيم واضح,التذاكر، الفعاليات، المكان، التنظيم,"[0, 0, 0, -1]","['التذاكر', 'الفعاليات', 'المكان', 'التنظيم']"
Restaurants,1.0,قمت بتجربة هذا المكان وملاحظاتي هي: بالنسبة للأكل فهو بمستوى طبيعي. مستوى النظافة عادي ولا بأس به، كما أن الأسعار ممتازة ورخيصة مقارنة بالكمية,الأكل، النظافة، الأسعار,"[0, 0, 1]","['الأكل', 'النظافة', 'الأسعار']"
Hotels,0.0,التجربة بشكل عام كانت متفاوتة، موظفو الاستقبال قاموا بعملهم بشكل روتيني. الموقع لا يتميز بشيء خاص ولكنه مناسب. والإفطار كان لذيذاً ومتنوعاً جداً في حين أن بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها,الاستقبال، الموقع، الإفطار، الغرفة,"[0, 0, 1, 0]","['الاستقبال', 'الموقع', 'الإفطار', 'الغرفة']"
Hotels,1.0,في زيارتي الأخيرة، طاقم الاستقبال كان عادياً في التعامل، كما أن الموقع استراتيجي وقريب من كل الفعاليات في حين أن الغرفة واسعة ومريحة بشكل استثنائي,الاستقبال، الموقع، الغرفة,"[0, 1, 1]","['الاستقبال', 'الموقع', 'الغرفة']"
Restaurants,1.0,في زيارتي الأخيرة، قيمة رائعة مقابل المال والأسعار جداً معقولة، كما أن مستوى الخدمة لا بأس به. ومستوى النظافة عادي ولا بأس به,الأسعار، الخدمة، النظافة,"[1, 0, 0]","['الأسعار', 'الخدمة', 'النظافة']"
Hotels,1.0,بوفيه الإفطار مذهل ويحتوي على خيارات رائعة. وطاقم الاستقبال كان عادياً في التعامل، كما أن الغرفة واسعة ومريحة بشكل استثنائي في حين أن الموقع لا يتميز بشيء خاص ولكنه مناسب,الإفطار، الاستقبال، الغرفة، الموقع,"[1, 0, 1, 0]","['الإفطار', 'الاستقبال', 'الغرفة', 'الموقع']"
Restaurants,-1.0,التجربة بشكل عام كانت متفاوتة، النظافة معدومة في هذا المطعم، كما أن السعر كان عاديا وليس مبالغا فيه أما الخدمة فـ في المطعم كانت روتينية,النظافة، الأسعار، الخدمة,"[-1, 0, 0]","['النظافة', 'الأسعار', 'الخدمة']"
Restaurants,0.0,بصراحة، الأسعار كانت متوسطة ومناسبة لجودة المكان أما النظافة فـ نظافة المكان بشكل عام كانت مقبولة. تعامل الويترز كان عادياً وبالنسبة للأكل فـ مقبول لكنني تذوقت أفضل منه,الأسعار، النظافة، الخدمة، الأكل,"[0, 0, 0, 0]","['الأسعار', 'النظافة', 'الخدمة', 'الأكل']"
Restaurants,-1.0,أسوأ خدمة جربتها في حياتي، كما أن السعر كان عاديا وليس مبالغا فيه في حين أن طعم الأكل كان عادياً ولا يوجد فيه نكهة مميزة,الخدمة، الأسعار، الأكل,"[-1, 0, 0]","['الخدمة', 'الأسعار', 'الأكل']"
Hotels,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، مساحة الغرفة كانت متوسطة كما توقعنا. والموقع بعيد جداً ومقطوع عن الخدمات. وبالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر. وطاقم الاستقبال كان عادياً في التعامل,الغرفة، الموقع، الإفطار، الاستقبال,"[0, -1, 0, 0]","['الغرفة', 'الموقع', 'الإفطار', 'الاستقبال']"
Attractions,0.0,في زيارتي الأخيرة، أسعار الدخول طبيعية مقارنة بالفعاليات وبالنسبة للتنظيم فـ سيء جداً وهناك عشوائية في المكان، كما أن المكان يعتبر جيد لقضاء بعض الوقت. والفعاليات كانت تقليدية ومكررة,التذاكر، التنظيم، المكان، الفعاليات,"[0, -1, 0, 0]","['التذاكر', 'التنظيم', 'المكان', 'الفعاليات']"
Attractions,-1.0,التجربة بشكل عام كانت متفاوتة، ترتيب الدخول كان يسير بشكل طبيعي. والمكان كئيب وممل جداً في حين أن الفعاليات كانت تقليدية ومكررة,التنظيم، المكان، الفعاليات,"[0, -1, 0]","['التنظيم', 'المكان', 'الفعاليات']"
Restaurants,0.0,التجربة بشكل عام كانت متفاوتة، الأكل مقبول لكنني تذوقت أفضل منه بالإضافة إلى ذلك، نظافة المكان بشكل عام كانت مقبولة وبالنسبة للأسعار فـ بالنسبة للأسعار فهي مقبولة إلى حد ما وبالنسبة للخدمة فـ مستوى لا بأس به,الأكل، النظافة، الأسعار، الخدمة,"[0, 0, 0, 0]","['الأكل', 'النظافة', 'الأسعار', 'الخدمة']"
Attractions,0.0,في زيارتي الأخيرة، الفعاليات كانت تقليدية ومكررة. ترتيب الدخول كان يسير بشكل طبيعي أما المكان فـ مساحة وتصميمه مقبول ولا بأس به,الفعاليات، التنظيم، المكان,"[0, 0, 0]","['الفعاليات', 'التنظيم', 'المكان']"
Restaurants,0.0,بصراحة، المطعم نظيف لحد معقول في حين أن بالنسبة للأكل فهو بمستوى طبيعي,النظافة، الأكل,"[0, 0]","['النظافة', 'الأكل']"
Attractions,1.0,التجربة بشكل عام كانت متفاوتة، وجهة سياحية رائعة وتستحق الزيارة تكراراً. أسعار التذاكر رخيصة جداً ومناسبة للجميع، كما أن الأنشطة والفعاليات ممتعة جداً ومليئة بالحماس,المكان، التذاكر، الفعاليات,"[1, 1, 1]","['المكان', 'التذاكر', 'الفعاليات']"
Restaurants,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: نظافة المكان بشكل عام كانت مقبولة في حين أن أسعار المنيو تعتبر طبيعية مقارنة بالمطاعم الأخرى أما الأكل فـ مقبول لكنني تذوقت أفضل منه,النظافة، الأسعار، الأكل,"[0, 0, 0]","['النظافة', 'الأسعار', 'الأكل']"
Attractions,1.0,بصراحة، التذاكر قيمتها ممتازة وتشمل خيارات كثيرة. والوجهة كانت عادية ولم تبهرني كثيراً,التذاكر، المكان,"[1, 0]","['التذاكر', 'المكان']"
Attractions,0.0,التجربة بشكل عام كانت متفاوتة، المكان يعتبر جيد لقضاء بعض الوقت بالإضافة إلى ذلك، الفعاليات كانت تقليدية ومكررة، كما أن أسعار الدخول طبيعية مقارنة بالفعاليات وبالنسبة للتنظيم فـ داخل المرفق كان عاديا,المكان، الفعاليات، التذاكر، التنظيم,"[0, 0, 0, 0]","['المكان', 'الفعاليات', 'التذاكر', 'التنظيم']"
Restaurants,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: الطاولات كانت نظيفة بشكل معتاد أما الأسعار فـ ممتازة ورخيصة مقارنة بالكمية في حين أن طعم الأكل كان عادياً ولا يوجد فيه نكهة مميزة وبالنسبة للخدمة فـ أسوأ خدمة جربتها في حياتي,النظافة، الأسعار، الأكل، الخدمة,"[0, 1, 0, -1]","['النظافة', 'الأسعار', 'الأكل', 'الخدمة']"
Hotels,0.0,في زيارتي الأخيرة، بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها بالإضافة إلى ذلك، الإفطار كان لذيذاً ومتنوعاً جداً أما الاستقبال فـ موظفو قاموا بعملهم بشكل روتيني وبالنسبة للموقع فـ مقبول ولا بأس به مقارنة بالسعر,الغرفة، الإفطار، الاستقبال، الموقع,"[0, 1, 0, 0]","['الغرفة', 'الإفطار', 'الاستقبال', 'الموقع']"
Hotels,0.0,بصراحة، الإفطار سيء جداً والخيارات محدودة، كما أن موظفو الاستقبال في قمة الرقي والتعاون,الإفطار، الاستقبال,"[-1, 1]","['الإفطار', 'الاستقبال']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، بشكل عام المكان طبيعي كأي حديقة أخرى، كما أن الإدارة والتنظيم بمستوى مقبول في حين أن العروض المقدمة كانت في المستوى الطبيعي وبالنسبة للتذاكر فـ أسعار رخيصة جداً ومناسبة للجميع,المكان، التنظيم، الفعاليات، التذاكر,"[0, 0, 0, 1]","['المكان', 'التنظيم', 'الفعاليات', 'التذاكر']"
Hotels,0.0,الإفطار كان مقبولاً لكنه يفتقر للتنوع. وأثاث الغرفة يبدو عادياً ليس حديثاً ولا قديماً جداً. الموقع مقبول ولا بأس به مقارنة بالسعر,الإفطار، الغرفة، الموقع,"[0, 0, 0]","['الإفطار', 'الغرفة', 'الموقع']"
Hotels,-1.0,بصراحة، طاقم الاستقبال كان عادياً في التعامل أما الموقع فـ بعيد جداً ومقطوع عن الخدمات,الاستقبال، الموقع,"[0, -1]","['الاستقبال', 'الموقع']"
Hotels,1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الإفطار كان مقبولاً لكنه يفتقر للتنوع، كما أن ترحيب حار جداً من طاقم الاستقبال,الإفطار، الاستقبال,"[0, 1]","['الإفطار', 'الاستقبال']"
Hotels,0.0,بصراحة، بوفيه الإفطار كان تقليدياً ويقدم أصنافاً معتادة. وموقع الفندق يعتبر متوسطا من حيث القرب للخدمات بالإضافة إلى ذلك، إجراءات الدخول في الاستقبال كانت طبيعية ولم تستغرق وقتا طويلا أو قصيرا. ومساحة الغرفة كانت متوسطة كما توقعنا,الإفطار، الموقع، الاستقبال، الغرفة,"[0, 0, 0, 0]","['الإفطار', 'الموقع', 'الاستقبال', 'الغرفة']"
Hotels,1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الإفطار كان مقبولاً لكنه يفتقر للتنوع في حين أن الموقع استراتيجي وقريب من كل الفعاليات,الإفطار، الموقع,"[0, 1]","['الإفطار', 'الموقع']"
Restaurants,0.0,قرأت تقييمات كثيرة وقررت التجربة، السعر كان عاديا وليس مبالغا فيه في حين أن تعامل الويترز كان عادياً وبالنسبة للأكل فـ مقبول لكنني تذوقت أفضل منه,الأسعار، الخدمة، الأكل,"[0, 0, 0]","['الأسعار', 'الخدمة', 'الأكل']"
Hotels,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، مساحة الغرفة كانت متوسطة كما توقعنا وبالنسبة للموقع فـ بعيد جداً ومقطوع عن الخدمات. وترحيب حار جداً من طاقم الاستقبال,الغرفة، الموقع، الاستقبال,"[0, -1, 1]","['الغرفة', 'الموقع', 'الاستقبال']"
Attractions,0.0,في زيارتي الأخيرة، سعر التذاكر كان متوسطا ومقبولا بالإضافة إلى ذلك، مساحة المكان وتصميمه مقبول ولا بأس به,التذاكر، المكان,"[0, 0]","['التذاكر', 'المكان']"
Attractions,-1.0,التجربة بشكل عام كانت متفاوتة، العروض المقدمة كانت في المستوى الطبيعي. أسعار التذاكر غالية جداً ومبالغ فيها,الفعاليات، التذاكر,"[0, -1]","['الفعاليات', 'التذاكر']"
Hotels,1.0,قرأت تقييمات كثيرة وقررت التجربة، الموقع لا يتميز بشيء خاص ولكنه مناسب، كما أن الغرفة كانت عادية وتفي بالغرض بالإضافة إلى ذلك، بوفيه الإفطار مذهل ويحتوي على خيارات رائعة,الموقع، الغرفة، الإفطار,"[0, 0, 1]","['الموقع', 'الغرفة', 'الإفطار']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، أسعار الدخول طبيعية مقارنة بالفعاليات، كما أن لا بأس بالتنظيم بشكل عام بالإضافة إلى ذلك، الفعاليات مقبولة وتمضية وقت ليس إلا. الوجهة كانت عادية ولم تبهرني كثيراً,التذاكر، التنظيم، الفعاليات، المكان,"[0, 0, 0, 0]","['التذاكر', 'التنظيم', 'الفعاليات', 'المكان']"
Hotels,-1.0,بصراحة، جودة الطعام في الإفطار كانت ضعيفة جداً في حين أن للأسف الغرفة كانت سيئة وغير نظيفة على الإطلاق في حين أن موقع الفندق سيء ويصعب الوصول إليه. وواجهنا بطء شديد ومماطلة من موظفي الاستقبال,الإفطار، الغرفة، الموقع، الاستقبال,"[-1, -1, -1, -1]","['الإفطار', 'الغرفة', 'الموقع', 'الاستقبال']"
Restaurants,0.0,بصراحة، مستوى النظافة عادي ولا بأس به في حين أن الأسعار ممتازة ورخيصة مقارنة بالكمية، كما أن طعم الأكل كان عادياً ولا يوجد فيه نكهة مميزة في حين أن سرعة الخدمة كانت في المعدل الطبيعي والمقبول,النظافة، الأسعار، الأكل، الخدمة,"[0, 1, 0, 0]","['النظافة', 'الأسعار', 'الأكل', 'الخدمة']"
Restaurants,0.0,في زيارتي الأخيرة، المطعم نظيف لحد معقول، كما أن طعم الأكل كان عادياً ولا يوجد فيه نكهة مميزة وبالنسبة للخدمة فـ سرعة كانت في المعدل الطبيعي والمقبول أما الأسعار فـ بالنسبة للأسعار فهي مقبولة إلى حد ما,النظافة، الأكل، الخدمة، الأسعار,"[0, 0, 0, 0]","['النظافة', 'الأكل', 'الخدمة', 'الأسعار']"
Restaurants,0.0,في زيارتي الأخيرة، السعر كان عاديا وليس مبالغا فيه بالإضافة إلى ذلك، أسوأ خدمة جربتها في حياتي أما النظافة فـ نظافة المطعم ممتازة جداً,الأسعار، الخدمة، النظافة,"[0, -1, 1]","['الأسعار', 'الخدمة', 'النظافة']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، التنظيم سيء جداً وهناك عشوائية في المكان بالإضافة إلى ذلك، التذاكر ليست رخيصة ولا غالية بل في المعقول بالإضافة إلى ذلك، الأنشطة الموجودة لا بأس بها للأطفال وبالنسبة للمكان فالوجهة كانت عادية ولم تبهرني كثيراً,التنظيم، التذاكر، الفعاليات، المكان,"[-1, 0, 0, 0]","['التنظيم', 'التذاكر', 'الفعاليات', 'المكان']"
Hotels,0.0,قرأت تقييمات كثيرة وقررت التجربة، الموقع لا يتميز بشيء خاص ولكنه مناسب بالإضافة إلى ذلك، طاقم الاستقبال كان عادياً في التعامل. ومساحة الغرفة كانت متوسطة كما توقعنا أما الإفطار فـ بالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر,الموقع، الاستقبال، الغرفة، الإفطار,"[0, 0, 0, 0]","['الموقع', 'الاستقبال', 'الغرفة', 'الإفطار']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، قيمة التذكرة عادية. وفوضى عارمة وسوء تنظيم واضح في حين أن الفعاليات كانت تقليدية ومكررة. الوجهة كانت عادية ولم تبهرني كثيراً,التذاكر، التنظيم، الفعاليات، المكان,"[0, -1, 0, 0]","['التذاكر', 'التنظيم', 'الفعاليات', 'المكان']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، بشكل عام المكان طبيعي كأي حديقة أخرى في حين أن أسعار التذاكر غالية جداً ومبالغ فيها بالإضافة إلى ذلك، ترتيب الدخول كان يسير بشكل طبيعي. والفعاليات كانت تقليدية ومكررة,المكان، التذاكر، التنظيم، الفعاليات,"[0, -1, 0, 0]","['المكان', 'التذاكر', 'التنظيم', 'الفعاليات']"
Attractions,0.0,بصراحة، الإدارة والتنظيم بمستوى مقبول. وقيمة التذكرة عادية,التنظيم، التذاكر,"[0, 0]","['التنظيم', 'التذاكر']"
Hotels,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الغرفة واسعة ومريحة بشكل استثنائي وبالنسبة للإفطار فـ كان مقبولاً لكنه يفتقر للتنوع بالإضافة إلى ذلك، موقع الفندق يعتبر متوسطا من حيث القرب للخدمات في حين أن طاقم الاستقبال كان عادياً في التعامل,الغرفة، الإفطار، الموقع، الاستقبال,"[1, 0, 0, 0]","['الغرفة', 'الإفطار', 'الموقع', 'الاستقبال']"
Attractions,-1.0,التجربة بشكل عام كانت متفاوتة، قيمة التذكرة عادية، كما أن التنظيم سيء جداً وهناك عشوائية في المكان,التذاكر، التنظيم,"[0, -1]","['التذاكر', 'التنظيم']"
Hotels,0.0,بصراحة، الغرفة كانت عادية وتفي بالغرض. إجراءات الدخول في الاستقبال كانت طبيعية ولم تستغرق وقتا طويلا أو قصيرا,الغرفة، الاستقبال,"[0, 0]","['الغرفة', 'الاستقبال']"
Restaurants,0.0,في زيارتي الأخيرة، نظافة المكان بشكل عام كانت مقبولة وبالنسبة للأسعار فالسعر كان عاديا وليس مبالغا فيه، كما أن تعامل الويترز كان عادياً,النظافة، الأسعار، الخدمة,"[0, 0, 0]","['النظافة', 'الأسعار', 'الخدمة']"
Hotels,-1.0,التجربة بشكل عام كانت متفاوتة، تعامل الاستقبال كان جافاً وغير احترافي. وجودة الطعام في الإفطار كانت ضعيفة جداً,الاستقبال، الإفطار,"[-1, -1]","['الاستقبال', 'الإفطار']"
Attractions,-1.0,التذكرة لا تستحق هذا السعر المرتفع إطلاقاً، كما أن المكان يعتبر جيد لقضاء بعض الوقت في حين أن الإدارة والتنظيم بمستوى مقبول,التذاكر، المكان، التنظيم,"[-1, 0, 0]","['التذاكر', 'المكان', 'التنظيم']"
Attractions,0.0,المكان يعتبر جيد لقضاء بعض الوقت بالإضافة إلى ذلك، التذاكر ليست رخيصة ولا غالية بل في المعقول وبالنسبة للفعاليات فالعروض المقدمة كانت في المستوى الطبيعي,المكان، التذاكر، الفعاليات,"[0, 0, 0]","['المكان', 'التذاكر', 'الفعاليات']"
Attractions,-1.0,التجربة بشكل عام كانت متفاوتة، التنظيم داخل المرفق كان عاديا في حين أن أسعار التذاكر غالية جداً ومبالغ فيها. والفعاليات كانت تقليدية ومكررة,التنظيم، التذاكر، الفعاليات,"[0, -1, 0]","['التنظيم', 'التذاكر', 'الفعاليات']"
Hotels,0.0,قرأت تقييمات كثيرة وقررت التجربة، بوفيه الإفطار كان تقليدياً ويقدم أصنافاً معتادة بالإضافة إلى ذلك، إجراءات الدخول في الاستقبال كانت طبيعية ولم تستغرق وقتا طويلا أو قصيرا وبالنسبة للموقع فـ بعيد جداً ومقطوع عن الخدمات في حين أن أثاث الغرفة يبدو عادياً ليس حديثاً ولا قديماً جداً,الإفطار، الاستقبال، الموقع، الغرفة,"[0, 0, -1, 0]","['الإفطار', 'الاستقبال', 'الموقع', 'الغرفة']"
Restaurants,0.0,الخدمة بطيئة للغاية والعمال غير مهتمين. وبالنسبة للأسعار فهي مقبولة إلى حد ما، كما أن المطعم نظيف لحد معقول وبالنسبة للأكل فـ بالنسبة للأكل فهو بمستوى طبيعي,الخدمة، الأسعار، النظافة، الأكل,"[-1, 0, 0, 0]","['الخدمة', 'الأسعار', 'النظافة', 'الأكل']"
Restaurants,0.0,التجربة بشكل عام كانت متفاوتة، الخدمة في المطعم كانت روتينية أما الأكل فـ طعم كان عادياً ولا يوجد فيه نكهة مميزة,الخدمة، الأكل,"[0, 0]","['الخدمة', 'الأكل']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، سعر التذاكر كان متوسطا ومقبولا. لا أنصح بزيارة المكان فهو سيء للغاية في حين أن الإدارة والتنظيم بمستوى مقبول. الأنشطة والفعاليات ممتعة جداً ومليئة بالحماس,التذاكر، المكان، التنظيم، الفعاليات,"[0, -1, 0, 1]","['التذاكر', 'المكان', 'التنظيم', 'الفعاليات']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: التنظيم داخل المرفق كان عاديا. والعروض المقدمة كانت في المستوى الطبيعي,التنظيم، الفعاليات,"[0, 0]","['التنظيم', 'الفعاليات']"
Attractions,0.0,بصراحة، المكان يعتبر جيد لقضاء بعض الوقت في حين أن الأنشطة الموجودة لا بأس بها للأطفال,المكان، الفعاليات,"[0, 0]","['المكان', 'الفعاليات']"
Hotels,0.0,الموقع لا يتميز بشيء خاص ولكنه مناسب، كما أن الغرفة ضيقة جداً ومكتومة وبالنسبة للإفطار فـ كان لذيذاً ومتنوعاً جداً,الموقع، الغرفة، الإفطار,"[0, -1, 1]","['الموقع', 'الغرفة', 'الإفطار']"
Attractions,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، التذاكر ليست رخيصة ولا غالية بل في المعقول، كما أن بشكل عام المكان طبيعي كأي حديقة أخرى أما التنظيم فـ سيء جداً وهناك عشوائية في المكان,التذاكر، المكان، التنظيم,"[0, 0, -1]","['التذاكر', 'المكان', 'التنظيم']"
Hotels,0.0,في زيارتي الأخيرة، الموقع مقبول ولا بأس به مقارنة بالسعر. أثاث الغرفة يبدو عادياً ليس حديثاً ولا قديماً جداً وبالنسبة للإفطار فـ وجبة كانت عادية ولم تكن مميزة,الموقع، الغرفة، الإفطار,"[0, 0, 0]","['الموقع', 'الغرفة', 'الإفطار']"
Hotels,0.0,بصراحة، مساحة الغرفة كانت متوسطة كما توقعنا أما الإفطار فـ كان مقبولاً لكنه يفتقر للتنوع,الغرفة، الإفطار,"[0, 0]","['الغرفة', 'الإفطار']"
Attractions,-1.0,في زيارتي الأخيرة، التنظيم سيء جداً وهناك عشوائية في المكان في حين أن أسعار الدخول طبيعية مقارنة بالفعاليات بالإضافة إلى ذلك، الفعاليات مملة جداً ولا يوجد تجديد وبالنسبة للمكان فـ كئيب وممل جداً,التنظيم، التذاكر، الفعاليات، المكان,"[-1, 0, -1, -1]","['التنظيم', 'التذاكر', 'الفعاليات', 'المكان']"
Restaurants,0.0,التجربة بشكل عام كانت متفاوتة، لم يعجبني الأكل إطلاقاً وكان دون المستوى بالإضافة إلى ذلك، النظافة معدومة في هذا المطعم في حين أن قيمة رائعة مقابل المال والأسعار جداً معقولة في حين أن الخدمة سريعة جداً وطاقم العمل ودود,الأكل، النظافة، الأسعار، الخدمة,"[-1, -1, 1, 1]","['الأكل', 'النظافة', 'الأسعار', 'الخدمة']"
Hotels,1.0,التجربة بشكل عام كانت متفاوتة، بالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر أما الموقع فـ موقع الفندق ممتاز جداً وإطلالته خرافية,الإفطار، الموقع,"[0, 1]","['الإفطار', 'الموقع']"
Attractions,1.0,قمت بتجربة هذا المكان وملاحظاتي هي: العروض المقدمة كانت في المستوى الطبيعي في حين أن التذاكر قيمتها ممتازة وتشمل خيارات كثيرة، كما أن مساحة المكان وتصميمه مقبول ولا بأس به,الفعاليات، التذاكر، المكان,"[0, 1, 0]","['الفعاليات', 'التذاكر', 'المكان']"
Restaurants,0.0,قرأت تقييمات كثيرة وقررت التجربة، الخدمة في المطعم كانت روتينية أما النظافة فـ نظافة المكان بشكل عام كانت مقبولة وبالنسبة للأكل فـ طعم كان عادياً ولا يوجد فيه نكهة مميزة. وقيمة رائعة مقابل المال والأسعار جداً معقولة,الخدمة، النظافة، الأكل، الأسعار,"[0, 0, 0, 1]","['الخدمة', 'النظافة', 'الأكل', 'الأسعار']"
Restaurants,-1.0,التجربة بشكل عام كانت متفاوتة، النظافة معدومة في هذا المطعم بالإضافة إلى ذلك، الخدمة في المطعم كانت روتينية,النظافة، الخدمة,"[-1, 0]","['النظافة', 'الخدمة']"
Restaurants,0.0,بصراحة، الأسعار مبالغ فيها وغالية جداً. وكل الأطباق كانت مطبوخة باحترافية وطعمها خيال,الأسعار، الأكل,"[-1, 1]","['الأسعار', 'الأكل']"
Attractions,-1.0,قرأت تقييمات كثيرة وقررت التجربة، فوضى عارمة وسوء تنظيم واضح في حين أن بشكل عام المكان طبيعي كأي حديقة أخرى. قيمة التذكرة عادية,التنظيم، المكان، التذاكر,"[-1, 0, 0]","['التنظيم', 'المكان', 'التذاكر']"
Restaurants,0.0,الخدمة في المطعم كانت روتينية. أسعار المنيو تعتبر طبيعية مقارنة بالمطاعم الأخرى، كما أن الطاولات كانت نظيفة بشكل معتاد، كما أن الأكل كان لذيذاً جداً وأنصح به بشدة,الخدمة، الأسعار، النظافة، الأكل,"[0, 0, 0, 1]","['الخدمة', 'الأسعار', 'النظافة', 'الأكل']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، قيمة التذكرة عادية في حين أن الفعاليات كانت تقليدية ومكررة أما التنظيم فالإدارة و بمستوى مقبول. ولا أنصح بزيارة المكان فهو سيء للغاية,التذاكر، الفعاليات، التنظيم، المكان,"[0, 0, 0, -1]","['التذاكر', 'الفعاليات', 'التنظيم', 'المكان']"
Attractions,1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، مساحة المكان وتصميمه مقبول ولا بأس به. التنظيم رائع جداً وسلس للغاية,المكان، التنظيم,"[0, 1]","['المكان', 'التنظيم']"
Restaurants,0.0,في زيارتي الأخيرة، مستوى النظافة عادي ولا بأس به، كما أن بالنسبة للأكل فهو بمستوى طبيعي. بالنسبة للأسعار فهي مقبولة إلى حد ما، كما أن تعامل الويترز كان عادياً,النظافة، الأكل، الأسعار، الخدمة,"[0, 0, 0, 0]","['النظافة', 'الأكل', 'الأسعار', 'الخدمة']"
Restaurants,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: بالنسبة للأكل فهو بمستوى طبيعي أما الخدمة فـ سرعة كانت في المعدل الطبيعي والمقبول أما الأسعار فـ كانت متوسطة ومناسبة لجودة المكان في حين أن الطاولات كانت نظيفة بشكل معتاد,الأكل، الخدمة، الأسعار، النظافة,"[0, 0, 0, 0]","['الأكل', 'الخدمة', 'الأسعار', 'النظافة']"
Restaurants,0.0,بصراحة، سرعة الخدمة كانت في المعدل الطبيعي والمقبول، كما أن مستوى النظافة عادي ولا بأس به,الخدمة، النظافة,"[0, 0]","['الخدمة', 'النظافة']"
Hotels,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، جودة الطعام في الإفطار كانت ضعيفة جداً. موقع الفندق سيء ويصعب الوصول إليه,الإفطار، الموقع,"[-1, -1]","['الإفطار', 'الموقع']"
Attractions,-1.0,بصراحة، مساحة المكان وتصميمه مقبول ولا بأس به. سعر التذاكر كان متوسطا ومقبولا وبالنسبة للتنظيم فـ فوضى عارمة وسوء تنظيم واضح,المكان، التذاكر، التنظيم,"[0, 0, -1]","['المكان', 'التذاكر', 'التنظيم']"
